Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known
https://groupme.com,549,added,groupme.com,null,null,null,null,null,null,null,null,None,None,None
https://asus.com,553,added,asus.com,null,null,null,null,null,null,null,null,None,None,None
https://eddiebauer.com,554,added,eddiebauer.com,null,null,null,null,null,null,null,null,None,None,None
https://sip.foodnetwork.com,555,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://thriftbooks.com,556,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://familysearch.org,557,added,familysearch.org,null,null,null,null,null,null,null,null,None,None,None
https://donaldjtrump.com,559,added,donaldjtrump.com,null,null,null,null,null,null,null,null,None,None,None
https://apisalesdemo8.successfactors.com,560,added,successfactors.com,null,null,null,null,null,null,null,null,None,None,None
https://crocs.com,563,added,crocs.com,null,null,null,null,null,null,null,null,None,None,None
https://discounttire.com,564,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://myworkday.com,567,redirected,workday.com,null,null,null,null,null,null,null,null,None,None,None
https://blog.clever.com,568,added,clever.com,null,null,null,null,null,null,null,null,None,None,None
https://jobs.suntrust.com,569,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://opb.org,571,added,opb.org,null,null,null,null,null,null,null,null,None,None,None
https://dreamstime.com,572,added,dreamstime.com,null,null,null,null,null,null,null,null,None,None,None
https://loopnet.com,573,added,loopnet.com,null,null,null,null,null,null,null,null,None,None,None
https://chipotle.com,579,added,chipotle.com,null,null,null,null,null,null,null,null,None,None,None
https://shop.carnival.com,580,added,carnival.com,null,null,null,null,null,null,null,null,None,None,None
https://athletic.net,581,added,athletic.net,null,null,null,null,null,null,null,null,None,None,None
https://seatgeek.com,582,added,seatgeek.com,null,null,null,null,null,null,null,null,None,None,None
https://nordstrom.com,585,added,nordstrom.com,null,null,null,null,null,null,null,null,None,None,None
https://rosegal.com,586,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://health.com,587,added,health.com,null,null,null,null,null,null,null,null,None,None,None
https://ally.com,588,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://turnitin.com,589,added,turnitin.com,null,null,null,null,no_gpc,no_gpc,null,null,None,None,None
https://overdrive.com,591,added,overdrive.com,null,null,null,null,null,null,null,null,None,None,None
https://imdb.com,594,added,imdb.com,null,null,null,null,null,null,null,null,None,None,None
https://cheaperthandirt.com,595,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://elephantjournal.com,596,added,elephantjournal.com,null,null,null,null,null,null,null,null,None,None,None
https://midwayusa.com,597,added,midwayusa.com,null,null,null,null,null,null,null,null,None,None,None
https://creditsesame.com,598,added,creditsesame.com,null,null,null,null,null,null,null,null,None,None,None
https://duke-energy.com,599,added,duke-energy.com,null,null,null,null,null,null,null,null,None,None,None
https://famousbirthdays.com,601,added,famousbirthdays.com,null,null,null,null,null,null,null,null,None,None,None
https://hallmark.com,602,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://apartmentguide.com,603,added,apartmentguide.com,null,null,null,null,null,null,null,null,None,None,None
https://shipstation.com,604,added,shipstation.com,null,null,null,null,null,null,null,null,None,None,None
https://newser.com,605,added,newser.com,null,null,null,null,null,null,null,null,None,None,None
https://intel.com,607,added,intel.com,null,null,null,null,null,null,null,null,None,None,None
https://lithub.com,608,added,lithub.com,null,null,null,null,null,null,null,null,None,None,None
https://heart.org,609,added,heart.org,null,null,null,null,null,null,null,null,None,None,None
https://anthem.com,610,added,anthem.com,null,null,null,null,null,null,null,null,None,None,None
https://daytondailynews.com,611,added,daytondailynews.com,null,null,null,null,null,null,null,null,None,None,None
https://paymentus.com,612,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://microcenter.com,613,added,microcenter.com,null,null,null,null,null,null,null,null,None,None,None
https://xome.com,614,added,xome.com,null,null,null,null,null,null,null,null,None,None,None
https://rent.com,615,added,rent.com,null,null,null,null,null,null,null,null,None,None,None
https://humana.com,616,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://shop.dinnerthendessert.com,618,added,dinnerthendessert.com,null,null,null,null,null,null,null,null,None,None,None
https://pearsoned.com,620,redirected,pearson.com,null,null,null,null,null,null,null,null,None,None,None
https://taxfoundation.org,622,added,taxfoundation.org,null,null,null,null,null,null,null,null,None,None,None
https://qa2.applebees.com,623,added,applebees.com,null,null,null,null,null,null,null,null,None,None,None
https://bizpacreview.com,624,added,bizpacreview.com,null,null,null,null,null,null,null,null,None,None,None
https://thehighroad.org,625,added,thehighroad.org,null,null,null,null,null,null,null,null,None,None,None
https://questdiagnostics.com,626,added,questdiagnostics.com,null,null,null,null,null,null,null,null,None,None,None
https://uncommongoods.com,628,added,uncommongoods.com,null,null,null,null,null,null,null,null,None,None,None
https://childrensplace.com,629,added,childrensplace.com,null,null,null,null,null,null,null,null,None,None,None
https://bostonmagazine.com,630,added,bostonmagazine.com,null,null,null,null,null,null,null,null,None,None,None
https://cafepress.com,631,added,cafepress.com,null,null,null,null,null,null,null,null,None,None,None
https://doterra.com,632,added,doterra.com,null,null,null,null,null,null,null,null,None,None,None
https://express-scripts.com,633,added,express-scripts.com,null,null,null,null,null,null,null,null,None,None,None
https://kwtx.com,635,added,kwtx.com,null,null,null,null,null,null,null,null,None,None,None
https://patagonia.com,636,added,patagonia.com,null,null,null,null,null,null,null,null,None,None,None
https://vistaprint.com,637,added,vistaprint.com,null,null,null,null,null,null,null,null,None,None,None
https://theoutline.com,639,added,theoutline.com,null,null,null,null,null,null,null,null,None,None,None
https://simplisafe.com,641,added,simplisafe.com,null,null,null,null,null,null,null,null,None,None,None
